Ticker,Year,EPSIE
FDX,2017,16.79
FDX,2018,2.03
FRT,2009,
FRT,2009,1.63
FRT,2010,
FRT,2010,1.98
FRT,2011,
FRT,2011,2.28
FRT,2012,
FRT,2012,2.35
FRT,2013,
FRT,2013,2.46
FRT,2014,
FRT,2014,2.41
FRT,2015,
FRT,2015,3.03
FRT,2016,
FRT,2016,3.5
FRT,2017,
FRT,2017,3.97
FRT,2018,
FRT,2018,3.18
M,2008,-11.4
M,2009,0.83
M,2010,1.98
M,2011,2.92
M,2012,3.24
M,2013,3.86
M,2014,4.22
M,2015,3.22
M,2016,1.99
M,2017,5.04
M,2018,3.56
FITB,2009,
FITB,2009,0.67
FITB,2010,
FITB,2010,0.63
FITB,2011,
FITB,2011,1.18
FITB,2012,
FITB,2012,1.66
FITB,2013,
FITB,2013,2.02
FITB,2014,
FITB,2014,1.66
FITB,2015,
FITB,2015,2.01
FITB,2016,
FITB,2016,1.93
FITB,2017,
FITB,2017,2.83
FITB,2018,
FITB,2018,3.06
RF,2009,
RF,2009,-1.27
RF,2010,
RF,2010,-0.62
RF,2011,
RF,2011,-0.34
RF,2012,
RF,2012,0.71
RF,2013,
RF,2013,0.77
RF,2014,
RF,2014,0.8
RF,2015,
RF,2015,0.75
RF,2016,
RF,2016,0.87
RF,2017,
RF,2017,1
RF,2018,
RF,2018,1.54
MTB,2009,
MTB,2009,2.89
MTB,2010,
MTB,2010,5.69
MTB,2011,
MTB,2011,6.35
MTB,2012,
MTB,2012,7.54
MTB,2013,
MTB,2013,8.2
MTB,2014,
MTB,2014,7.42
MTB,2015,
MTB,2015,7.18
MTB,2016,
MTB,2016,7.78
MTB,2017,
MTB,2017,8.7
MTB,2018,
MTB,2018,12.74
USB,2009,
USB,2009,0.97
USB,2010,
USB,2010,1.73
USB,2011,
USB,2011,2.46
USB,2012,
USB,2012,2.84
USB,2013,
USB,2013,3
USB,2014,
USB,2014,3.08
USB,2015,
USB,2015,3.16
USB,2016,
USB,2016,3.24
USB,2017,
USB,2017,3.51
USB,2018,
USB,2018,4.14
F,2009,0.86
F,2010,1.66
F,2011,4.94
F,2012,1.42
F,2013,1.76
F,2014,0.8
F,2015,1.84
F,2016,1.15
F,2017,1.9
F,2018,0.92
BEN,2009,
BEN,2009,3.87
BEN,2010,
BEN,2010,6.33
BEN,2011,
BEN,2011,8.62
BEN,2012,
BEN,2012,8.95
BEN,2013,
BEN,2013,3.37
BEN,2014,
BEN,2014,3.79
BEN,2015,
BEN,2015,3.29
BEN,2016,
BEN,2016,2.94
BEN,2017,
BEN,2017,3.01
BEN,2018,
BEN,2018,1.39
AJG,2009,1.28
AJG,2010,1.66
AJG,2011,1.28
AJG,2012,1.59
AJG,2013,2.06
AJG,2014,1.97
AJG,2015,2.06
AJG,2016,2.32
AJG,2017,2.54
AJG,2018,3.4
GPS,2008,1.34
GPS,2009,1.58
GPS,2010,1.88
GPS,2011,1.56
GPS,2012,2.33
GPS,2013,2.74
GPS,2014,2.87
GPS,2015,2.23
GPS,2016,1.69
GPS,2017,2.14
GPS,2018,2.59
GD,2009,6.17
GD,2010,6.81
GD,2011,6.87
GD,2012,-0.94
GD,2013,6.67
GD,2014,7.42
GD,2015,9.08
GD,2016,9.52
GD,2017,9.56
GD,2018,11.18
GE,2009,1.01
GE,2010,1.06
GE,2011,1.23
GE,2012,1.29
GE,2013,1.27
GE,2014,1.5
GE,2015,-0.61
GE,2016,0.89
GE,2017,-0.72
GE,2018,-2.62
GIS,2008,3.8
GIS,2009,4.48
GIS,2010,2.7
GIS,2011,2.35
GIS,2012,2.79
GIS,2013,2.83
GIS,2014,1.97
GIS,2015,2.77
GIS,2016,2.77
GIS,2017,3.64
GIS,2018,2.9
GM,2009,253.49
GM,2010,2.89
GM,2011,4.58
GM,2012,2.92
GM,2013,2.38
GM,2014,1.65
GM,2015,5.91
GM,2016,6
GM,2017,-2.6
GM,2018,5.53
GPC,2009,2.5
GPC,2010,3
GPC,2011,3.58
GPC,2012,4.14
GPC,2013,4.4
GPC,2014,4.61
GPC,2015,4.63
GPC,2016,4.59
GPC,2017,4.18
GPC,2018,5.5
GWW,2009,5.62
GWW,2010,6.93
GWW,2011,9.07
GWW,2012,9.52
GWW,2013,11.13
GWW,2014,11.45
GWW,2015,11.58
GWW,2016,9.87
GWW,2017,10.02
GWW,2018,13.73
HAL,2009,1.27
HAL,2010,2.01
HAL,2011,3.08
HAL,2012,2.84
HAL,2013,2.36
HAL,2014,4.11
HAL,2015,-0.79
HAL,2016,-6.69
HAL,2017,-0.53
HAL,2018,1.89
HAS,2009,2.48
HAS,2010,2.74
HAS,2011,2.82
HAS,2012,2.55
HAS,2013,2.17
HAS,2014,3.2
HAS,2015,3.57
HAS,2016,4.34
HAS,2017,3.12
HAS,2018,1.74
WELL,2009,
WELL,2009,1.49
WELL,2010,
WELL,2010,0.83
WELL,2011,
WELL,2011,0.9
WELL,2012,
WELL,2012,0.98
WELL,2013,
WELL,2013,0.28
WELL,2014,
WELL,2014,1.45
WELL,2015,
WELL,2015,2.34
WELL,2016,
WELL,2016,2.81
WELL,2017,
WELL,2017,1.26
WELL,2018,
WELL,2018,2.02
KHC,2008,2.9
KHC,2009,2.71
KHC,2010,3.06
KHC,2011,2.85
